question_order,question,age,topic
257,Бегает на прогулке,18,ПРОГУЛКА
258,Катается на игрушках без педалей (беговел),18,ПРОГУЛКА
259,Катается на горке (поднимается и спускается с маленькой горки),24,ПРОГУЛКА
260,Играет в песочнице короткое время (10-15 минут),24,ПРОГУЛКА
261,"Играет в различные игры на улице, например в мяч, с машиной",24,ПРОГУЛКА
262,"С интересом и подходящим образом играет на детской площадке (20-30 минут): качается на качелях, катается с горки, забирается на лазалки",28,ПРОГУЛКА
263,Катается на трехколесном велосипеде,32,ПРОГУЛКА
264,"Ползает по шведской стенке, висит на руках",34,ПРОГУЛКА
265,Не убегает с детской площадки,36,ПРОГУЛКА
266,"Следует инструкции, которая дается на расстоянии",36,ПРОГУЛКА
267,Катается с большой горки,36,ПРОГУЛКА
268,Качается на разных качелях-каруселях,36,ПРОГУЛКА
269,"Проявляет интерес к другим детям, играющим рядом",36,ПРОГУЛКА
270,Играет с другими детьми на площадке,36,ПРОГУЛКА
271,"Удовлетворены ли Вы тем, как протекает рутина?",0,ПРОГУЛКА
272,Хотите ли Вы изменить рутину в лучшую сторону?,0,ПРОГУЛКА
273,"Засыпает самостоятельно (некоторое покачивание считать, как самостоятельно)",0,КАК РЕБЕНОК СПИТ ДНЕМ
274,Засыпает без расстройства и суеты,0,КАК РЕБЕНОК СПИТ ДНЕМ
275,Просыпается без расстройства,0,КАК РЕБЕНОК СПИТ ДНЕМ
276,Спит достаточное время,1,КАК РЕБЕНОК СПИТ ДНЕМ
277,"Смотрит/слушает повторяющиеся движения/звуки, чтобы заснуть",4,КАК РЕБЕНОК СПИТ ДНЕМ
278,"Играет в кроватке, если не спит",9,КАК РЕБЕНОК СПИТ ДНЕМ
279,Научился и демонстрирует понимание слов о сне,12,КАК РЕБЕНОК СПИТ ДНЕМ
280,"Использует предметы (например, одеялко, игрушку), чтобы успокоиться",12,КАК РЕБЕНОК СПИТ ДНЕМ
281,Отказывается спать,12,КАК РЕБЕНОК СПИТ ДНЕМ
282,"Использует слова, чтобы сказать, что хочет спать",16,КАК РЕБЕНОК СПИТ ДНЕМ
283,Спит один раз в день,18,КАК РЕБЕНОК СПИТ ДНЕМ
284,Спит в кроватке (не в люльке),24,КАК РЕБЕНОК СПИТ ДНЕМ
285,"Если не спит, не мешает спать другим",24,КАК РЕБЕНОК СПИТ ДНЕМ
286,Может не спать в течение дня,32,КАК РЕБЕНОК СПИТ ДНЕМ
287,Следует указаниям взрослых относительно дневного сна,36,КАК РЕБЕНОК СПИТ ДНЕМ
288,"Удовлетворены ли Вы тем, как протекает рутина?",0,КАК РЕБЕНОК СПИТ ДНЕМ
289,Хотите ли Вы изменить рутину в лучшую сторону?,0,КАК РЕБЕНОК СПИТ ДНЕМ
